id,name,lat,lon,cuisine_type,halal_cert,price_range,has_prayer_room,address,phone,hours,notes,source,verified_date
HLR_BKK_150,ร้านมดีนะฮ์ ฮาลาลฟู้ด จตุจักร,13.7990106,100.5507777,,Unverified,,,ร้านมดีนะฮ์ ฮาลาลฟู้ด จตุจักร,,,,Google My Maps Export,
HLR_BKK_151,Sara (Halal) Restaurant,13.7991428,100.5507049,,Unverified,,,Sara (Halal) Restaurant,,,,Google My Maps Export,
HLR_BKK_152,Madenah Halal Noodle Food,13.7992108,100.5505269,,Unverified,,,Madenah Halal Noodle Food,,,,Google My Maps Export,
HLR_BKK_153,SULTANA HALAL @JJ,13.799921,100.5489748,,Unverified,,,SULTANA HALAL @JJ,,,,Google My Maps Export,
HLR_BKK_154,Halal food by Muslim,13.8028265,100.5392181,,Unverified,,,Halal food by Muslim,,,,Google My Maps Export,
HLR_BKK_155,Bancheroun Rotee Halal,13.8018363,100.5508719,,Unverified,,,Bancheroun Rotee Halal,,,,Google My Maps Export,
HLR_BKK_156,Halal Street Foods Shop @ Platinum,13.7502149,100.5395544,,Unverified,,,Halal Street Foods Shop @ Platinum,,,,Google My Maps Export,
HLR_BKK_157,เนื้อแท้ สาขาบางอ้อ (Nua T) Meeting Mall,13.8026185,100.5119569,,Unverified,,,เนื้อแท้ สาขาบางอ้อ (Nua T) Meeting Mall,,,,Google My Maps Export,
HLR_BKK_158,ก๋วยเตี๋ยวดงมูลเหล็ก สาขาบางอ้อ,13.802208,100.5126943,,Unverified,,,ก๋วยเตี๋ยวดงมูลเหล็ก สาขาบางอ้อ,,,,Google My Maps Export,
HLR_BKK_159,Chef Yis,13.7640513,100.7018798,,Unverified,,,Chef Yis,,,,Google My Maps Export,
HLR_BKK_160,Kobang Seafood Halal Buffet,13.7768189,100.6770611,,Unverified,,,Kobang Seafood Halal Buffet,,,,Google My Maps Export,
HLR_BKK_161,โต๊ะนา ก๋วยเตี๋ยวเนื้อตุ๋น,13.764179,100.6938269,,Unverified,,,โต๊ะนา ก๋วยเตี๋ยวเนื้อตุ๋น,,,,Google My Maps Export,
HLR_BKK_162,คาปู&โยดาอิตาเลี่ยนฮาลาล,13.7637926,100.6940114,,Unverified,,,คาปู&โยดาอิตาเลี่ยนฮาลาล,,,,Google My Maps Export,
HLR_BKK_163,ร้าน ลอง ดู ดิ (ฮาลาล),13.7667605,100.6997918,,Unverified,,,ร้าน ลอง ดู ดิ (ฮาลาล),,,,Google My Maps Export,
HLR_BKK_164,Khaohung Halal,13.7673661,100.7021462,,Unverified,,,Khaohung Halal,,,,Google My Maps Export,
HLR_BKK_165,โจ๊กกะเตี๋ยวฮาลาล,13.7684915,100.7025518,,Unverified,,,โจ๊กกะเตี๋ยวฮาลาล,,,,Google My Maps Export,
HLR_BKK_166,บ้านใต้ฮาลาล,13.780307,100.706773,,Unverified,,,บ้านใต้ฮาลาล,,,,Google My Maps Export,
HLR_BKK_167,NakNom Cafe',13.778614,100.7095162,,Unverified,,,NakNom Cafe',,,,Google My Maps Export,
HLR_BKK_168,มุมกิน ฮาลาลฟู้ด,13.7637387,100.7042476,,Unverified,,,มุมกิน ฮาลาลฟู้ด,,,,Google My Maps Export,
HLR_BKK_169,ร้านยูซบเนื้อทอดแดดเดียว (รามคำแหง61),13.7603263,100.6229358,,Unverified,,,ร้านยูซบเนื้อทอดแดดเดียว (รามคำแหง61),,,,Google My Maps Export,
HLR_BKK_170,Mattaam Babo Halal Food,13.760277,100.6232321,,Unverified,,,Mattaam Babo Halal Food,,,,Google My Maps Export,
HLR_BKK_171,Mandarin Suki & Dim Sum Buffet Halal Bangkaew,13.6453129,100.6734244,,Unverified,,,Mandarin Suki & Dim Sum Buffet Halal Bangkaew,,,,Google My Maps Export,
HLR_BKK_172,At home delicious halal cuisine,13.8298856,100.7767512,,Unverified,,,At home delicious halal cuisine,,,,Google My Maps Export,
HLR_BKK_173,จิระพันธ์ เป็ดย่าง เป็ดพะโล้,13.8319469,100.7726426,,Unverified,,,จิระพันธ์ เป็ดย่าง เป็ดพะโล้,,,,Google My Maps Export,
HLR_BKK_174,เตี๋ยวเนื้อ นายเอ็น,13.8372661,100.7803432,,Unverified,,,เตี๋ยวเนื้อ นายเอ็น,,,,Google My Maps Export,
HLR_BKK_175,JR STATION HALAL FOOD,13.8415284,100.7882561,,Unverified,,,JR STATION HALAL FOOD,,,,Google My Maps Export,
HLR_BKK_176,The Fatema Halal Food,13.8408893,100.7775253,,Unverified,,,The Fatema Halal Food,,,,Google My Maps Export,
HLR_BKK_177,ระเบียงบ้านบัง,13.8246398,100.77966,,Unverified,,,ระเบียงบ้านบัง,,,,Google My Maps Export,
HLR_BKK_178,ริสกี ฮาลาล อาหารตามสั่ง,13.842434,100.794123,,Unverified,,,ริสกี ฮาลาล อาหารตามสั่ง,,,,Google My Maps Export,
HLR_BKK_179,Aminah Halal Stall,13.7581362,100.5004567,,Unverified,,,Aminah Halal Stall,,,,Google My Maps Export,
HLR_BKK_180,Mj.FAMILYอาหารตามสั่งเครืองดื่ม ฮาลาล Halal Food & Drink,13.7578587,100.4992799,,Unverified,,,Mj.FAMILYอาหารตามสั่งเครืองดื่ม ฮาลาล Halal Food & Drink,,,,Google My Maps Export,
HLR_BKK_181,Ayeesah roddee,13.7603431,100.4983399,,Unverified,,,Ayeesah roddee,,,,Google My Maps Export,
HLR_BKK_182,Ali Halal Restaurant,13.7584459,100.489978,,Unverified,,,Ali Halal Restaurant,,,,Google My Maps Export,
HLR_BKK_183,มุมกิน ฮาลาล มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์,13.7589572,100.4901957,,Unverified,,,มุมกิน ฮาลาล มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์,,,,Google My Maps Export,
HLR_BKK_184,Sara Restaurant ห้องอาหารซาร่า,13.7625064,100.4991836,,Unverified,,,Sara Restaurant ห้องอาหารซาร่า,,,,Google My Maps Export,
HLR_BKK_185,Karim Roti Mataba,13.7636071,100.4956287,,Unverified,,,Karim Roti Mataba,,,,Google My Maps Export,
HLR_BKK_186,S.M. Lokhande,13.7615187,100.4972273,,Unverified,,,S.M. Lokhande,,,,Google My Maps Export,
